"id"," name"," count"
"5686","Capitello","4"
"5727","estacion","4"
"5802","iscrizioni","4"
"5854","Voci","4"
"5909","toccare","4"
"5913","scorrimano","4"
"5926","fermata","4"
"5927","Crocevia","4"
"5985","Eco","4"
"6027","rilievo","4"
"6041","portico","4"
"6042","chiostro","4"
"6155","Imbarcaderi","4"
"6173","primavera","4"
"6195","giochi","4"
"6316","Cortili","4"
"6421","view","4"
"6471","ponti morti","4"
"6505","Service","4"
"6532","pozzo","4"
"6670","Amor","4"
"7044","palmeras","4"
"7141","mobilidade","4"
"7175","inclusão","4"
"7180","pastel","4"
"7183","caldo de cana","4"
"7203","Curiosidade","4"
"7242","teste","4"
"7247","Cão guia","4"
"7323","Avenida Paulista","4"
"7401","sao","4"
"7412","Fiesp","4"
"7561","minhocão","4"
"7610","Gastronomia","4"
"7677","Bahia","4"
"7681","Salvador","4"
"7866","barcelona","4"
"7900","estación norte","4"
"7941","senderisme","4"
"8072","Dangerous","4"
"8194","centro","4"
"8210","garoa","4"
"8243","yokoham","4"
"2902","pizza","3"
"4712","ponteggi","3"
"4816","courtyard","3"
"4871","presidi sanitari","3"
"4966","cosas raras","3"
"4981","Rampa","3"
"4989","Barrera","3"
"4993","Angelito de perrita","3"
"5000","niños correteando","3"
"5010","Acera a ras","3"
"5062","Büro","3"
"5068","Berlinische Galerie","3"
"5070","Travel","3"
"5082","Postfuhramt","3"
"5112","Museumsinsel","3"
"5139","fences","3"
"5141","experience","3"
"5165","Stelenfeld","3"
"5174","Freunde","3"
"5184","playing fields","3"
"5229","Piscinas","3"
"5295","Alameda","3"
"5329","catedral","3"
"5392","padiglione catalano","3"
"5402","Santiago de Compostela","3"
"5526","Bank pkobp rynek","3"
"5565","klub","3"
"5587","Książki","3"
"5740","Libreria","3"
"5769","Appetitoso","3"
"5829","Colori","3"
"5874","santa Marta","3"
"5877","Parco giochi","3"
"5878","basket","3"
"5882","passaggio","3"
"5886","calle stretta","3"
"5898","Multidirezionale","3"
"5942","Barca","3"
"5978","portale","3"
"6019","pasticceria","3"
"6099","scuole","3"
"6158","Squero","3"
"6189","entrata","3"
"6198","viale","3"
"6206","vuoto","3"
"6221","abbandono","3"
"6249","fruttivendoli","3"
"6280","osteria","3"
"6312","fortuny","3"
"6344","Gelato","3"
"6366","divertimento","3"
"6403","People Mover","3"
"6483","Darsena","3"
"6631","padiglione","3"
"6649","pluja","3"
"6678","túneles","3"
"6813","concierto","3"
"6834","Bullicio","3"
"6863","l'horta","3"
"6901","sombra","3"
"6954","sonora","3"
"7008","plaza de toros","3"
"7027","Nazaret","3"
"7040","La Roqueta","3"
"7143","Deus","3"
"7161","feira livre","3"
"7173","dorinanowill","3"
"7197","ônibus","3"
"7217","Vale do Anhangabau","3"
"7243","paulo","3"
"7250","acesso","3"
"7260","Vergueiro","3"
"7261","bengala","3"
"7314","Alex Flemming","3"
"7348","Hospital Santa Catarina","3"
"7430","casa","3"
"7465","fotografia","3"
"7497","associação cadevi","3"
"7587","falta de acessibilidade","3"
"7598","GCM","3"
"7612","Barra Funda","3"
"7632","morango","3"
"7636","Museu","3"
"7639","arte contemporânea","3"
"7664","exposição","3"
"7666","Sesc","3"
"7758","trilha","3"
"7762","Museu do folclore","3"
"7883","Street","3"
"7893","Calle peatonal","3"
"7898","Camino","3"
"7915","Semàfor sonor","3"
"7943","ruta","3"
"7950","Pont","3"
"7959","Cerdanya","3"
"7978","primer tram","3"
"7991","Vall del corb","3"
"7993","Vinyes","3"
"8022","postal sonora","3"
"8211","anos","3"
"8221","hier","3"
"4671","ciottoli","2"
"4716","segnaletica","2"
"4717","motorini","2"
"4728","medici","2"
"4775","catene","2"
"4793","stalls","2"
"4809","MECO","2"
"4817","Italian forum","2"
"4836","hhome","2"
"4860","pilastro dissuasore","2"
"4864","aspettare","2"
"4946","Domingo","2"
"4959","Cocas","2"
"4974","Trabajo","2"
"4976","Cajas de fruta","2"
"4979","parada bus","2"
"5051","Ping-pong","2"
"5059","BB9","2"
"5067","Liegestühle","2"
"5074","Bier","2"
"5088","Polizei","2"
"5097","ABSV","2"
"5105","defekt","2"
"5107","fehlende taktile Pflasterung","2"
"5109","Kreuzung","2"
"5127","cinemas","2"
"5149","violin","2"
"5164","Brandenburger Tor","2"
"5171","üben","2"
"5175","selfies","2"
"5193","Water pump","2"
"5208","Vorstellung","2"
"5220","Galway","2"
"5221","NCBI","2"
"5233","Antoni Abad","2"
"5237","Lagoa","2"
"5290","Educacion","2"
"5308","Colegio","2"
"5309","Pedras","2"
"5310","Cabina telefo","2"
"5315","CORREOS","2"
"5320","casco vello","2"
"5338","Parada taxi","2"
"5353","agua potable","2"
"5372","Info generica","2"
"5376","Bereich Lebensmittel","2"
"5380","Calor","2"
"5383","Narrow street","2"
"5407","Brakprzejscia","2"
"5417","Dziura w chodniku","2"
"5422","Powitanie","2"
"5426","Polski Związek Niewidomych","2"
"5455","Kameleon","2"
"5491","Rekreacja","2"
"5501","Biedronka","2"
"5531","makieta","2"
"5534","Placki","2"
"5578","Piano","2"
"5592","Kiosk","2"
"5595","Lody","2"
"5609","Szumiąca zagadka","2"
"5637","supermarkety","2"
"5640","Dworzec glowny","2"
"5649","null","2"
"5659","Drum","2"
"5660","silence","2"
"5661","gretapower","2"
"5667","prosecco","2"
"5696","ponte di Calatrava","2"
"5697","Piazzale Roma","2"
"5741","acqualta","2"
"5743","magia","2"
"5761","San Marco","2"
"5772","Guggenheim","2"
"5801","fondaco tedeschi","2"
"5808","Giocattoli","2"
"5859","laguna","2"
"5862","Carcere","2"
"5866","Rialto","2"
"5881","buio","2"
"5905","foresta","2"
"5906","nightinvenice","2"
"5921","statue","2"
"5924","Arsenale","2"
"5929","Affollamento","2"
"5955","Cantiere","2"
"5956","tradizione","2"
"5971","pesce","2"
"5972","Aaudiolibro","2"
"6048","modellino edificio","2"
"6052","andanes","2"
"6057","Locali","2"
"6059","Edicola","2"
"6088","inferriata","2"
"6095","scuola san rocco","2"
"6104","frari","2"
"6105","san polo","2"
"6119","poesia","2"
"6122","tavoli","2"
"6124","accesso disabili","2"
"6133","riva","2"
"6153","targhe","2"
"6166","rocco","2"
"6174","Passerella","2"
"6193","informazioni","2"
"6197","Riposo","2"
"6199","giostre","2"
"6209","tombini","2"
"6212","Partigiane","2"
"6214","parcheggio","2"
"6259","navi","2"
"6270","Sete","2"
"6272","studenti","2"
"6281","spritz","2"
"6309","donne","2"
"6322","palazzi","2"
"6332","Giobbe","2"
"6337","sinagoga","2"
"6339","panificio","2"
"6343","artigianato","2"
"6354","Movimento","2"
"6372","Aigua","2"
"6373","soroll","2"
"6376","pizzeria","2"
"6378","corte","2"
"6394","Parcheggi","2"
"6418","Ostello","2"
"6425","venetians","2"
"6447","Lido","2"
"6449","piscina","2"
"6459","campo da tennis","2"
"6465","s.Elena","2"
"6489","Utilities","2"
"6521","Oficina","2"
"6528","souvenir","2"
"6533","supermercato","2"
"6540","Casinò","2"
"6545","Descrizione ambientale","2"
"6551","Spiagge","2"
"6603","Ortsbeschreibung","2"
"6607","família","2"
"6618","Olafur Eliasson","2"
"6619","Green Light","2"
"6632","Venezuela","2"
"6636","paesi nordici","2"
"6648","tempesta","2"
"6651","Festa","2"
"6653","documenta","2"
"6655","Concerto","2"
"6667","rosa","2"
"6676","pendientes","2"
"6685","texturas","2"
"6710","incivico","2"
"6721","Plantas","2"
"6724","Amores","2"
"6747","Moscowneversleeps","2"
"6749","Center of the travelers","2"
"6783","fauna","2"
"6820","Cantar","2"
"6826","detalles urbanos","2"
"6829","cauce","2"
"6862","Picanya","2"
"6876","Horno","2"
"6902","sabores","2"
"6923","Tranquilidad","2"
"6924","Palomas","2"
"6928","mirlos","2"
"6931","arena","2"
"6932","música callejera","2"
"6947","voz","2"
"6949","espectaculo","2"
"6950","mercat","2"
"6952","entrevista","2"
"6959","pintura","2"
"6964","juegos","2"
"7005","navegando","2"
"7009","segunda parte","2"
"7024","Aroma","2"
"7025","césped","2"
"7077","Torres Quart","2"
"7082","La primera Once de Valencia","2"
"7083","Churros","2"
"7170","São Paulo","2"
"7188","Dorina Nowill","2"
"7201","Arquitetura","2"
"7208","vivência","2"
"7209","Rosewood","2"
"7210","Cidade Matarazzo","2"
"7214","Pão de queijo","2"
"7244","Centro cultural","2"
"7249","instituto magnus","2"
"7274","piso tátil do lado direito","2"
"7275","piso","2"
"7311","ensaio","2"
"7343","#","2"
"7350","blindwikibr","2"
"7354","Roselene","2"
"7364","Bispo do Rosário","2"
"7409","Shopping cidade São Paulo","2"
"7420","Mequi 1000","2"
"7435","Agradecimento","2"
"7445","Instituto Moreira Salles","2"
"7449","cantando e encantando","2"
"7450","comércio ambulante","2"
"7454","diversidade na Paulista","2"
"7458","artesanato na Paulista","2"
"7459","artista de rua","2"
"7466","Moreira Salles","2"
"7476","árvores","2"
"7485","lixo","2"
"7491","Asac","2"
"7523","pessoas","2"
"7524","buracos","2"
"7549","faculdade Oswaldo Cruz","2"
"7553","superação","2"
"7564","Calçada","2"
"7602","Memorial America Latina","2"
"7609","Rua Camaragibe","2"
"7634","Rota Sorocaba","2"
"7663","Sesc Sorocaba","2"
"7665","Carolina Maria","2"
"7668","sp","2"
"7683","Eodoviaria","2"
"7712","Rota","2"
"7724","Depoimento","2"
"7734","Olhar diferente","2"
"7745","Taste festival","2"
"7754","Basalto","2"
"7787","nascente","2"
"7838","Gostosuras","2"
"7843","Sustentabilidade","2"
"7851","Novo servidor","2"
"7869","reivindicar","2"
"7897","autobuses","2"
"7905","Arc de triomph","2"
"7920","paissatge sonor","2"
"7937","parcs","2"
"7940","Camí","2"
"7946","atenció","2"
"7949","elements urbans","2"
"7954","element tàctil","2"
"7956","riu","2"
"7957","muntanya","2"
"7961","Random","2"
"7967","panell informatiu","2"
"7969","Església de Rigolisa","2"
"7981","cavalls","2"
"7983","sons","2"
"7994","Mas Fogonussa","2"
"8010","Parc de l’oreneta","2"
"8016","Tàrrega","2"
"8018","Monestir de Pedralbes","2"
"8039","hello","2"
"8045","well","2"
"8050","ambient","2"
"8087","Road","2"
"8094","Walk","2"
"8100","obstacle","2"
"8136","corrego","2"
"8160","parte","2"
"8163","campiello","2"
"8164","fontana","2"
"8176","ocells","2"
"8205","cascades","2"
"8241","pati interior","2"
"8242","terraza","2"
"1754","prova","1"
"2916","obj.casa","1"
"4619","accademia","1"
"4677","mappe","1"
"4805","plans","1"
"4811","Indian restaurant","1"
"4813","Garden pub","1"
"4814","outdoors","1"
"4821","Italian restaurant","1"
"4823","exercise","1"
"4824","Irish pub","1"
"4827","inconveniences","1"
"4835","Indian Pakistani restaurant","1"
"4837","very manly","1"
"4839","ferwharf","1"
"4840","helpful staff","1"
"4841","walking exercise","1"
"4842","fantastic pub food","1"
"4843","exercisey","1"
"4844","laundromat","1"
"4846","support group","1"
"4868","antest","1"
"4870","me non sa","1"
"4948","Probeta","1"
"4949","En el eacc","1"
"4952","cosas","1"
"4957","nubes","1"
"4960","pan de leña","1"
"4961","bollería","1"
"4963","Descripcion","1"
"4965","recinto de ferias","1"
"4971","Ayuda","1"
"4980","bordillos","1"
"4986","Terra","1"
"4991","Relax sin coffee","1"
"4992","chica grey","1"
"4994","Armarios","1"
"4999","encima de la acera","1"
"5005","máquina expendedora","1"
"5006","largo","1"
"5007","muchos metros","1"
"5008","corte ingles","1"
"5009","parque ribalta","1"
"5017","Cañón","1"
"5018","rubia","1"
"5030","Wifi","1"
"5050","Exhibition","1"
"5055","anfassen","1"
"5058","faces","1"
"5060","Ferry","1"
"5065","Gurke","1"
"5069","Wurm","1"
"5071","geheim","1"
"5076","Grill","1"
"5077","Aufnahme","1"
"5078","willkommen","1"
"5084","Tacheles","1"
"5086","squat","1"
"5089","best","1"
"5090","Wasserturm","1"
"5091","springen","1"
"5093","MIDI","1"
"5095","Klanginstallation","1"
"5096","Treppenhaus","1"
"5098","meeting","1"
"5099","supermarket","1"
"5108","campus","1"
"5111","Tastmodell","1"
"5113","Flohmarkt","1"
"5116","Holz","1"
"5117","Empfehlung","1"
"5123","cultural centers","1"
"5128","performances","1"
"5129","pedestrian crossings","1"
"5130","university campus","1"
"5131","audio guides","1"
"5132","Seitenstraße","1"
"5134","akustisches Signal","1"
"5135","Hähnchen","1"
"5136","Brandenburgertor","1"
"5146","Denke mal","1"
"5147","Tiergarten","1"
"5151","Reichstag","1"
"5154","Spree","1"
"5155","Street crossing","1"
"5160","ruhig","1"
"5162","Verschwörungstheorie","1"
